,Latitude,Longitude
3339,33.268889,-111.811111
3340,29.818056,-95.6725
3341,29.295277,-81.1125
3342,42.711111,-110.941944
3343,32.353333,-89.488611
3344,45.255556,-122.650833
3345,35.658889,-117.824445
3346,34.263611,-116.854444
3347,35.854444,-83.517778
3348,34.069167,-118.351111
3349,38.8,-104.7
3350,41.480278,-122.455
3351,32.305556,-90.413889
3352,43.255,-75.603611
3353,37.733056,-86.396389
3354,37.481389,-97.011944
3355,35.027778,-89.973889
3356,41.166667,-71.567778
3357,47.453333,-120.273056
3358,44.852222,-115.501111
3359,36.625834,-83.679445
3360,58.096111,-135.409722
3361,40.175,-80.634444
3362,43.868889,-121.455833
3363,47.974445,-122.550278
3364,32.931111,-97.411667
3365,37.693333,-121.820278
3366,43.105,-89.185555
3367,43.985,-88.561667
3368,33.576111,-117.128056
3369,30.243611,-98.909444
3370,59.466945,-135.311389
3371,27.591111,-81.527778
3372,31.193333,-97.407222
3373,29.959722,-81.340555
3374,43.169445,-86.238055
3375,44.361111,-92.720834
3377,44.034444,-121.118334
3378,41.609722,-70.255556
3379,26.920278,-81.990555
3380,47.838333,-90.383056
3381,40.643333,-119.343333
3382,40.743333,-119.213333
3383,36.475,-82.407222
3384,40.867223,-85.688611
3385,33.996111,-83.670556
3386,40.716667,-123.9275
3387,33.051111,-80.267778
3389,44.889722,-116.101389
3390,38.038055,-87.038055
3391,34.636666,-106.845
3392,38.846666,-94.534166
3393,41.610278,-90.588333
3394,34.786666,-118.290277
3395,29.768056,-97.775278
3396,34.733611,-76.660556
3397,36.843611,-114.049166
3398,46,-123.903611
3399,35.303611,-112.193889
3400,39.530834,-75.477223
3401,40.885555,-77.816389
3402,36.318611,-119.392777
3404,30.455278,-95.663333
3405,37.062778,-84.611944
3406,33.982223,-88.611667
3407,33.321667,-84.292222
3408,39.608333,-77.007778
3409,58.355,-134.574445
3410,45.818889,-122.838889
3411,36.249166,-93.154722
3412,33.299722,-84.752222
3413,32.815556,-117.139444
3414,41.035833,-75.160556
3415,42.783333,-71.516667
3416,34.720834,-94.386666
3417,44.7775,-89.666667
3418,38.606667,-122.216389
3419,44.934444,-93.06
3420,46.9,-114.095277
3421,36.201667,-115.194166
3422,40.938055,-90.431111
3423,37.865556,-113.3025
3424,32.765556,-97.67
3425,35.128334,-118.561111
3426,32.815556,-117.139444
3427,35.968611,-116.269445
3429,25.318611,-80.900556
3430,34.970556,-94.369167
3431,30.633889,-87.368056
3432,37.797222,-100.111667
3433,36.176389,-94.119167
3434,30.366667,-89.45
3435,34.848611,-111.788611
3436,26.083333,-8.166667
3437,30.351667,-95.414444
3438,39.140833,-96.670834
3439,30.271667,-81.803333
3440,41.241389,-96.594166
3441,41.938889,-72.683056
3442,43.7225,-85.503889
3443,40.825,-115.791666
3444,41.730556,-122.545555
3445,29.078056,-81.044444
3446,42.206667,-88.323056
3447,42.463333,-71.293333
3449,33.948333,-83.326111
3450,33.969167,-83.668056
3451,27.341944,-80.521945
3452,28.867223,-82.571389
3453,26.6,-80.086944
3454,38.801389,-123.530278
3455,35.8775,-87.787222
3456,33.875278,-84.303333
3457,35.790555,-97.940555
3458,48.549444,-109.75
3459,36.893333,-121.410278
3460,37.244444,-93.386944
3461,35.238889,-111.481945
3462,37.978611,-80.692777
3463,57.761667,-152.303056
3464,35.697222,-86.956944
3465,62.987222,-149.892222
3466,43.433333,-83.8625
3467,30.367778,-89.454722
3468,44.483333,-88.133333
3469,39.642777,-79.916111
3472,39.36,-74.455833
3473,35.301111,-92.573334
3474,33.111667,-85.133889
3475,37.138333,-118.642777
3476,31.606944,-83.939722
3477,39.000278,-119.751111
3478,40.533056,-105.020834
3480,40.108611,-85.613056
3481,46.977778,-110.609722
3482,30.398889,-87.348611
3484,31.094444,-95.162778
3485,32.54,-93.745
3486,44.627778,-93.228056
3487,48.188611,-114.316111
3488,36.7675,-119.718056
3489,38.174445,-85.736111
3490,35.38,-86.246111
3491,42.908333,-106.465
3492,47.263611,-122.067223
3494,38.650556,-78.700556
3495,41.671111,-70.280278
3496,45.807778,-108.542777
3497,38.487222,-77.615278
3498,38.662222,-90.651944
3499,33.766667,-84.416667
3500,38.776111,-122.992777
3501,35.683333,-94.250278
3502,35.315556,-82.353056
3503,36.706111,-80.192222
3504,33.646389,-81.711389
3505,38.944444,-77.455556
3506,35.462222,-82.552778
3507,40.384166,-92.371389
3508,27.341944,-80.521945
3509,34.523056,-114.514444
3510,33.434166,-112.011389
3511,34.640277,-86.773056
3512,30.509722,-95.648611
3513,36.279167,-95.886111
3514,26.251111,-97.300556
3515,47.906944,-122.273056
3516,43.83,-87.841944
3517,26.121111,-97.427778
3518,41.585555,-70.540277
3519,35.886111,-83.977222
3520,41.818611,-107.152778
3521,30.345277,-81.52
3522,29.7,-91.333333
3523,34.95,-78.516667
3524,33.865278,-101.737222
3525,31.778334,-98.957778
3526,39.351389,-123.269445
3527,41.938611,-86.223889
3528,42.557778,-75.527778
3529,30.367778,-89.454722
3530,29.316667,-95.75
3531,28.791666,-81.934722
3532,38.653611,-122.602222
3533,27.954722,-82.745
3534,30.194444,-97.669723
3535,36.738055,-108.224445
3536,30.212222,-85.682778
3537,36.741111,-108.224445
3538,41.730278,-122.545555
3539,40.588333,-105.042223
3540,36.762222,-96.011111
3541,28,-82.164167
3542,31.793611,-98.961111
3543,34.268056,-88.769723
3544,35.655278,-120.620556
3545,41.483334,-73.228611
3546,32.115,-110.941111
3547,39.99,-117.199444
3548,40.55,-115.383333
3549,37.081667,-121.596666
3550,31.9425,-102.201667
3551,30.404444,-89.068611
3552,34.579167,-84.020278
3553,29.136944,-83.048333
3554,47.266945,-122.577223
3555,29.506111,-95.476667
3556,29.902222,-91.663056
3557,39.934722,-105.934722
3558,30.34,-95.397777
3559,38.809167,-104.7
3560,36.8125,-111.646389
3561,34.133333,-118.15
3562,31.534722,-112.290277
3563,41.128056,-74.346666
3564,30.667223,-91.483333
3565,29.721111,-98.69
3566,48.483889,-122.937777
3567,40.959444,-72.251667
3568,30.741111,-86.115
3569,45.316389,-122.605278
3570,48.098055,-123.187222
3571,35.341666,-79.436944
3572,34.966945,-81.083333
3573,40.601389,-111.984444
3574,33.354167,-117.250833
3575,32.116111,-110.941111
3576,40.025278,-124.070556
3577,38.486666,-121.102778
3578,63.5,-149
3579,34.618611,-87.051667
3580,34.616111,-79.065833
3581,34.6175,-84.1925
3582,36.336666,-85.049444
3583,42.795833,-86.161944
3584,38.653333,-122.899166
3585,41.483056,-120.565278
3586,40.433333,-115.75
3587,36.038056,-119.071389
3588,42.322778,-96.681111
3589,31.363889,-109.883056
3590,40.728889,-73.413333
3591,48.160833,-122.158889
3592,36.104722,-79.724167
3593,43.916667,-123.011111
3594,41.723889,-71.428056
3595,30.336389,-81.514444
3596,39.072778,-93.6775
3597,46.163056,-122.948611
3598,37.547222,-82.570278
3599,42.259722,-84.459444
3600,28.011389,-82.055278
3601,35.278889,-89.930556
3602,44.681945,-75.465556
3603,42.426667,-73.292777
3604,34.885833,-82.2175
3605,34.368334,-107.718611
3606,38.738889,-122.818334
3607,41.51,-74.264722
3608,35.259444,-113.938055
3609,34.945277,-110.141666
3610,41.253056,-70.060278
3611,37.5375,-118.603056
3612,39.5,-119
3613,41.743889,-72.18
3615,37.693611,-121.640277
3616,29.658611,-81.688611
3617,36.429723,-93.695555
3618,33.25,-117.1
3619,31.743055,-84.419167
3620,40.660278,-111.457778
3621,46.479167,-84.368334
3622,31.796111,-81.641111
3623,36.741389,-108.23
3624,33.816667,-78.728889
3625,37.332778,-121.821667
3626,27.975556,-82.533056
3627,35.259444,-113.938055
3628,29.335,-98.468334
3629,48.542777,-122.404722
3630,36.898889,-89.561944
3631,35.145,-111.683056
3632,43.591944,-118.955556
3633,34.502777,-82.715278
3634,34.003611,-118.493889
3635,38.513333,-81.898889
3636,45.883333,-122.6
3637,34.259444,-113.954722
3638,34.549444,-94.204722
3639,30.211944,-85.682778
3640,29.69,-82.271667
3641,45.086389,-124.407778
3642,27.4725,-81.071389
3643,38.668611,-121.400833
3644,35.259444,-113.938055
3645,27.603056,-97.751667
3646,33.482778,-90.985555
3647,35.268889,-82.639722
3648,42.542777,-83.177778
3649,45.271667,-111.648611
3650,39.448889,-119.781111
3651,42.447222,-84.077222
3652,27.922223,-82.459166
3653,38.223334,-122.449444
3654,41.938889,-72.683056
3655,40.851111,-96.759444
3656,32.8325,-116.976389
3657,58.638611,-137.662778
3658,38.467223,-107.866667
3659,36.874723,-76.179167
3660,39.818611,-120.352778
3661,40.626667,-74.67
3662,35.433333,-119.056667
3663,29.902778,-91.656667
3664,33.601667,-97.775556
3665,42.565833,-84.423056
3666,41.758056,-89.5825
3667,34.774167,-118.321389
3668,84.637222,-30.971389
3669,44.827223,-93.457222
3670,18.316667,-65.325
3671,41.920834,-71.491389
3672,42.916667,-97.386111
3673,38.204167,-121.27
3674,31.484722,-97.316389
3675,29.359444,-99.176667
3676,41.805556,-72.5825
3677,37.701111,-113.098889
3678,30.300278,-83.03
3679,37.859444,-107.983333
3680,33.269167,-111.811111
3681,42.518611,-96.493055
3682,33.173889,-86.780556
3683,32.853056,-109.634722
3684,30.043889,-82.603889
3685,43.665556,-83.420278
3686,32.690555,-83.642777
3687,39.567778,-104.847777
3688,38.942777,-76.568334
3689,38.344444,-98.859167
3690,33.381945,-85.907222
3691,44.020556,-117.013611
3692,38.315278,-76.55
3693,29.959167,-81.339722
3694,38.802222,-87.589722
3695,29.647222,-95.286111
3696,30.043055,-82.604167
3697,47.226111,-123.173056
3698,35.187222,-97.971945
3699,35.858611,-92.0875
3700,33.867778,-117.988889
3701,40.164167,-89.693055
3702,36.993889,-121.540834
3703,35.946111,-94.163056
3704,44.7775,-89.666667
3705,35.036666,-85.206389
3706,34.751944,-118.656111
3707,44.053333,-103.061944
3708,35.985555,-82.883333
3709,38.671389,-87.130834
3710,36.747222,-108.233333
3711,40.923889,-74.238611
3712,33.176667,-96.59
3713,45.993055,-111.236666
3714,31.151111,-81.388055
3715,31.886944,-81.557222
3716,38.335277,-98.868611
3717,36.725834,-97.093055
3718,29.076667,-81.047222
3719,41.532223,-87.509167
3720,38.266111,-77.449166
3721,36.080278,-105.437222
3722,33.9,-97.168889
3723,33.773889,-84.519445
3724,33.184444,-80.035
3725,33.368611,-81.958611
3726,33.326111,-84.411667
3727,34.652222,-86.940555
3728,42.055,-104.933333
3729,38.951667,-95.663333
3730,34.848611,-111.788611
3731,44.389444,-74.21
3732,32.710278,-84.947222
3733,59.128056,-156.858611
3734,33.921389,-118.041389
3735,39.77,-93.0125
3736,36.709444,-110.236666
