,Day,Month,Year,Make,Aircraft.damage,Aircraft.Category,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight,Fatal,Injured,Uninjured,Fatal.Cat,Fatal.Count,Latitude,Longitude,Fatal Ratio
0,1,1,1982,BEECH,Substantial,,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
1,2,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
2,6,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Climb,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
3,7,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
4,12,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,IMC,Descent,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0,0.0
5,13,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
6,15,1,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
7,17,1,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
8,18,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Descent,0.0,4.0,0.0,Non-Fatal,0,0.0,0.0,0.0
9,19,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Maneuvering,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
10,20,1,1982,BEECH,Destroyed,Airplane,2,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
11,23,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
12,31,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,IMC,Cruise,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0,0.0
13,1,2,1982,BEECH,Destroyed,Airplane,2,Turbo Prop,IMC,Approach,0.0,7.0,0.0,Non-Fatal,0,0.0,0.0,0.0
14,8,2,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
15,9,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Maneuvering,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
16,10,2,1982,BEECH,Destroyed,Airplane,2,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
17,13,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,4.0,0.0,0.0,Fatal,4,0.0,0.0,100.0
18,15,2,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
19,16,2,1982,BEECH,Substantial,Airplane,2,Turbo Prop,IMC,Cruise,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
20,18,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
21,19,2,1982,BEECH,Substantial,Airplane,2,Reciprocating,IMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
22,20,2,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
23,24,2,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
24,25,2,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
25,25,2,1982,BEECH,Substantial,Airplane,2,Reciprocating,IMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
26,27,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Approach,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
27,2,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Climb,0.0,1.0,3.0,Non-Fatal,0,0.0,0.0,0.0
