,Make,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
231,1,3,1,1,1,4
232,1,2,2,1,1,3
233,1,2,1,1,2,5
234,1,2,1,1,2,10
235,1,3,1,1,1,7
236,1,3,1,1,1,5
238,1,2,2,1,2,3
239,1,2,1,1,1,9
240,1,2,1,1,1,5
241,1,2,1,1,1,8
242,1,2,1,1,1,9
243,1,2,2,1,2,5
244,1,2,1,1,1,3
245,1,2,1,1,1,3
246,1,3,1,1,1,3
247,1,2,1,1,1,8
248,1,3,2,1,1,5
249,1,2,2,4,1,5
250,1,2,1,1,1,3
251,1,1,2,4,1,1
252,1,2,2,1,2,9
253,1,2,2,4,1,9
254,1,2,2,1,1,8
255,1,2,2,1,2,9
256,1,3,2,1,1,8
257,1,2,2,1,1,9
258,1,2,2,1,1,9
260,1,2,2,1,1,9
261,1,3,2,1,2,5
262,1,2,1,1,1,8
263,1,3,1,1,2,5
264,1,2,2,1,1,3
265,1,2,1,1,1,8
266,1,2,1,1,2,1
267,1,3,1,1,2,8
268,1,2,2,1,1,1
269,1,3,1,1,2,5
270,1,2,2,1,2,9
271,1,2,1,1,1,8
272,1,3,2,1,2,5
273,1,2,1,1,1,9
274,1,3,1,1,1,7
275,1,3,1,1,1,8
276,1,3,1,1,1,9
277,1,2,1,1,1,8
278,1,2,1,1,2,5
279,1,2,2,1,1,9
280,1,1,2,1,1,2
281,1,2,2,1,1,5
282,1,2,1,1,1,5
283,1,3,1,1,2,5
284,1,3,1,1,1,8
285,1,2,1,1,1,9
286,1,2,1,1,1,8
287,1,2,2,1,1,9
288,1,2,1,1,1,3
289,1,3,1,1,2,5
290,1,2,1,1,1,2
291,1,2,1,1,1,9
292,1,2,2,1,2,9
293,1,3,2,1,1,3
294,1,3,1,1,1,10
295,1,2,2,1,1,3
297,1,3,1,1,1,8
298,1,2,1,1,1,3
299,1,2,1,1,1,9
300,1,2,2,4,1,9
301,1,2,2,1,1,8
302,1,3,1,1,1,9
303,1,2,1,1,1,3
304,1,2,1,1,1,9
305,1,3,1,1,1,8
306,1,3,2,1,1,3
307,1,3,1,1,1,3
308,1,2,1,1,1,3
309,1,3,1,1,1,5
310,1,2,2,1,1,2
311,1,2,1,1,1,8
312,1,2,2,1,2,5
313,1,2,1,1,1,10
314,1,2,2,1,1,9
315,1,2,1,1,1,3
316,1,2,2,1,1,9
317,1,2,2,1,2,8
318,1,2,2,1,2,5
319,1,2,2,1,2,4
320,1,3,1,1,1,9
321,1,2,1,1,1,8
322,1,3,1,1,1,7
323,1,3,1,1,1,5
324,1,3,1,1,1,5
325,1,2,1,1,1,9
326,1,3,1,1,2,8
327,1,3,1,1,1,8
328,1,2,2,1,1,9
329,1,3,1,1,1,10
330,1,2,1,1,1,8
331,1,2,2,1,1,9
332,1,2,2,1,1,3
333,1,3,1,1,1,3
334,1,3,2,1,2,4
335,1,3,1,1,1,7
336,1,2,1,1,1,9
337,1,3,2,1,1,5
338,1,3,1,1,1,5
339,1,2,1,1,1,9
340,1,2,2,1,2,8
341,1,2,2,1,1,8
342,1,2,2,1,1,9
343,1,2,1,1,1,3
344,1,2,1,1,1,8
345,1,2,1,1,1,9
346,1,2,1,1,1,9
347,1,3,1,1,1,10
348,1,3,2,3,1,3
349,1,3,2,1,2,5
350,1,3,1,1,1,8
351,1,2,2,1,1,9
352,1,2,1,1,1,9
353,1,2,1,1,1,9
354,1,2,2,1,1,2
355,1,3,1,1,1,3
356,1,2,1,1,1,9
357,1,3,1,1,1,5
358,1,2,1,1,2,8
359,1,3,1,1,1,7
360,1,2,2,1,1,2
361,1,2,2,1,1,1
362,1,3,1,1,1,5
363,1,2,2,1,1,9
364,1,2,2,4,1,9
365,1,2,1,1,1,8
366,1,3,1,1,2,5
367,1,2,1,1,1,5
368,1,2,2,1,1,8
369,1,3,1,1,2,3
370,1,2,1,1,1,3
371,1,2,1,1,1,9
372,1,2,2,1,1,9
373,1,2,1,1,1,3
374,1,3,2,1,1,3
375,1,2,1,1,1,9
376,1,2,1,1,1,9
377,1,3,1,1,1,3
378,1,2,1,1,1,3
379,1,2,1,1,1,8
380,1,2,1,1,1,9
381,1,2,1,1,1,3
382,1,2,1,1,1,9
383,1,3,2,1,1,8
384,1,3,2,1,1,7
385,1,3,2,1,1,3
386,1,3,2,1,1,3
387,1,2,1,1,1,8
388,1,2,2,1,1,3
389,1,2,1,1,2,5
390,1,3,2,1,1,3
391,1,2,1,1,1,3
392,1,2,2,4,1,9
393,1,2,1,1,1,9
394,1,2,1,1,1,3
395,1,2,1,1,1,9
397,1,3,1,1,1,3
398,1,3,2,1,1,8
399,1,3,2,1,1,9
400,1,2,1,1,1,8
401,1,2,2,1,2,3
402,1,3,2,1,2,5
403,1,2,2,1,1,9
404,1,2,1,1,1,9
405,1,2,1,1,1,5
406,1,2,1,1,1,9
407,1,3,1,1,1,4
408,1,2,1,1,1,3
409,1,2,1,1,1,9
410,1,2,2,1,1,9
411,1,2,1,1,1,5
412,1,2,2,1,1,3
413,1,2,2,1,1,9
414,1,2,1,1,1,3
415,1,2,2,1,1,9
416,1,2,1,1,2,3
417,1,2,2,1,1,7
418,1,2,1,1,1,9
419,1,2,1,1,1,5
420,1,2,1,1,1,5
421,1,2,1,1,1,3
422,1,2,1,1,1,4
423,1,3,2,1,1,3
424,1,3,2,4,2,4
425,1,2,2,1,1,3
426,1,2,2,1,1,9
427,1,3,1,1,1,3
430,1,2,1,1,1,3
431,1,2,2,1,1,9
432,1,3,2,1,2,8
433,1,2,2,1,1,1
434,1,2,2,1,1,5
435,1,2,1,1,1,9
436,1,2,1,1,1,4
437,1,2,1,1,1,9
438,1,2,1,1,1,9
439,1,2,1,1,1,9
440,1,3,1,1,1,5
441,1,2,1,1,1,8
442,1,3,2,1,1,7
443,1,3,2,1,2,5
444,1,3,1,1,1,4
445,1,2,1,1,1,5
446,1,2,1,1,1,1
447,1,3,2,4,1,10
448,1,3,1,1,1,3
451,1,3,1,1,2,8
452,1,3,1,1,2,5
453,1,3,2,4,2,8
455,1,2,1,1,1,9
456,1,2,2,1,2,9
457,1,3,2,1,1,7
458,1,2,1,1,1,1
459,1,2,1,1,2,5
460,1,2,1,1,1,9
461,1,3,1,1,1,7
462,1,2,1,1,1,5
463,1,2,2,4,2,8
464,1,3,1,1,1,3
465,1,2,1,1,2,5
466,1,3,1,1,1,8
467,1,3,1,1,2,5
468,1,2,2,4,2,9
469,1,3,1,1,1,4
470,1,3,2,1,1,5
471,1,3,1,1,2,5
472,1,3,1,1,1,3
473,1,2,1,1,1,5
474,1,2,1,1,1,5
475,1,2,2,1,1,3
476,1,2,2,4,2,2
477,1,2,2,4,1,9
478,1,2,1,1,1,8
479,1,2,1,1,1,9
480,1,2,1,1,1,5
481,1,2,1,1,1,7
482,1,2,1,1,1,8
483,1,2,2,1,1,9
484,1,2,2,1,1,9
485,1,2,1,1,1,3
486,1,2,2,1,1,5
488,1,3,1,1,1,6
489,1,3,1,1,1,5
490,1,3,1,1,1,5
491,1,2,2,4,1,9
492,1,2,1,1,1,3
493,1,2,2,1,1,9
494,1,3,2,1,2,8
495,1,2,1,1,1,9
497,1,3,1,1,2,8
498,1,2,2,1,1,9
499,1,2,1,1,1,9
500,1,3,1,1,2,5
501,1,2,2,1,1,9
502,1,2,1,1,1,8
503,1,2,2,1,1,9
504,1,2,1,1,1,4
505,1,3,2,1,1,8
506,1,3,1,1,2,5
507,1,2,1,1,1,3
508,1,3,1,1,1,9
509,1,2,2,1,1,3
510,1,2,1,1,2,8
511,1,2,2,4,1,5
512,1,2,2,4,2,3
513,1,2,2,4,1,9
514,1,2,1,1,1,9
